Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,0.128989,0.129026,0.128982,0.128982,0.128982,0
2020-05-07,0.128999,0.129032,0.128995,0.128999,0.128999,0
2020-05-08,0.129019,0.129029,0.129004,0.129019,0.129019,0
2020-05-11,0.129014,0.129041,0.129006,0.129014,0.129014,0
2020-05-12,0.129027,0.129041,0.129014,0.129024,0.129024,0
2020-05-13,0.129024,0.129036,0.129011,0.129024,0.129024,0
2020-05-14,0.129021,0.129032,0.129011,0.129019,0.129019,0
2020-05-15,0.129018,0.129029,0.129000,0.129018,0.129018,0
2020-05-18,0.129019,0.129024,0.128997,0.129021,0.129021,0
2020-05-19,0.129019,0.129032,0.129011,0.129014,0.129014,0
2020-05-20,0.129022,0.129035,0.129014,0.129026,0.129026,0
2020-05-21,0.129031,0.129047,0.128951,0.129032,0.129032,0
2020-05-22,0.128957,0.129003,0.128909,0.128961,0.128961,0
2020-05-25,0.128914,0.128982,0.128914,0.128920,0.128920,0
2020-05-26,0.128961,0.129012,0.128957,0.128959,0.128959,0
2020-05-27,0.128976,0.129014,0.128976,0.128978,0.128978,0
2020-05-28,0.128976,0.129001,0.128962,0.128976,0.128976,0
2020-05-29,0.128984,0.129025,0.128952,0.128987,0.128987,0
2020-06-01,0.128983,0.129024,0.128981,0.128983,0.128983,0
2020-06-02,0.129014,0.129031,0.129012,0.129009,0.129009,0
2020-06-03,0.129027,0.129044,0.129017,0.129024,0.129024,0
2020-06-04,0.129032,0.129047,0.129025,0.129032,0.129032,0
2020-06-05,0.129034,0.129039,0.129022,0.129031,0.129031,0
2020-06-08,0.129030,0.129047,0.129021,0.129030,0.129030,0
2020-06-09,0.129019,0.129044,0.129019,0.129007,0.129007,0
2020-06-10,0.129029,0.129039,0.129021,0.129016,0.129016,0
2020-06-11,0.129034,0.129042,0.129019,0.129034,0.129034,0
2020-06-12,0.129026,0.129039,0.129019,0.129029,0.129029,0
2020-06-15,0.129032,0.129047,0.129025,0.129032,0.129032,0
2020-06-16,0.129021,0.129047,0.129021,0.129032,0.129032,0
2020-06-17,0.129034,0.129046,0.129026,0.129036,0.129036,0
2020-06-18,0.129031,0.129037,0.129027,0.129034,0.129034,0
2020-06-19,0.129030,0.129037,0.129017,0.129032,0.129032,0
2020-06-22,0.129031,0.129046,0.129016,0.129032,0.129032,0
2020-06-23,0.129031,0.129046,0.129022,0.129032,0.129032,0
2020-06-24,0.129032,0.129047,0.129022,0.129031,0.129031,0
2020-06-25,0.129031,0.129046,0.129012,0.129022,0.129022,0
2020-06-26,0.129007,0.129036,0.129007,0.129007,0.129007,0
2020-06-29,0.129029,0.129041,0.129014,0.129032,0.129032,0
2020-06-30,0.129029,0.129036,0.129021,0.129029,0.129029,0
2020-07-01,0.129026,0.129039,0.129014,0.129022,0.129022,0
2020-07-02,0.129026,0.129034,0.129012,0.129024,0.129024,0
2020-07-03,0.129029,0.129037,0.129017,0.129029,0.129029,0
2020-07-06,0.129034,0.129037,0.129002,0.129030,0.129030,0
2020-07-07,0.129029,0.129037,0.129004,0.129021,0.129021,0
2020-07-08,0.129027,0.129037,0.129021,0.129024,0.129024,0
2020-07-09,0.129031,0.129037,0.129022,0.129030,0.129030,0
2020-07-10,0.129034,0.129044,0.129008,0.129030,0.129030,0
2020-07-13,0.129006,0.129034,0.129004,0.129008,0.129008,0
2020-07-14,0.129019,0.129039,0.129009,0.129019,0.129019,0
2020-07-15,0.129017,0.129031,0.128982,0.129017,0.129017,0
2020-07-16,0.128997,0.129003,0.128956,0.128996,0.128996,0
2020-07-17,0.128969,0.128996,0.128952,0.128971,0.128971,0
2020-07-20,0.128977,0.129011,0.128952,0.128986,0.128986,0
2020-07-21,0.129001,0.129031,0.128989,0.129002,0.129002,0
2020-07-22,0.129019,0.129032,0.128996,0.129019,0.129019,0
2020-07-23,0.128991,0.129027,0.128991,0.128986,0.128986,0
